id_cliente,idade_cliente,genero,nivel_educacional,estado_civil,num_dependentes,ctg_renda_anual,ctg_cartao_credito,limite_credito_cartao,sld_tot_rotativo_cartao,credito_disponivel_media_12_meses,taxa_media_utilizacao_cartao,meses_relacionamento,num_produtos_detidos,meses_inativos_ultimo_12_meses,num_contatos_ultimo_12_meses,tot_cont_transacoes_ultimo_12_meses,vlr_tot_transacoes_ultimo_12_meses,dif_vlr_transacao_t4_t1,dif_cont_transacao_t4_t1,conta_encerrada,probabilidade_encerramento
711538758,39,M,GRADUATE,SINGLE,5,60K - 80K,BLUE,24657,633,24024,0.026,36,1,3,3,46,1954,0.358,0.394,ATTRITED CUSTOMER,100.0
767404083,52,M,GRADUATE,SINGLE,2,60K - 80K,BLUE,3460,0,3460,0.0,45,2,3,3,47,2355,0.466,0.621,ATTRITED CUSTOMER,100.0
787482033,60,M,HIGHSCHOOL,DIVORCED,1,80K - 120K,BLUE,28930,0,28930,0.0,48,1,5,3,27,2251,0.645,0.227,ATTRITED CUSTOMER,100.0
712982808,47,M,DOCTORATE,DIVORCED,2,80K - 120K,BLUE,1438,0,1438,0.0,32,1,3,3,42,2388,0.454,0.5,ATTRITED CUSTOMER,100.0
793630083,39,M,HIGHSCHOOL,SINGLE,2,MORE THAN 120K,BLUE,1726,1476,250,0.855,33,1,3,4,34,1804,0.371,0.259,ATTRITED CUSTOMER,100.0
708809283,41,F,GRADUATE,DIVORCED,4,40K - 60K,BLUE,10360,2517,7843,0.243,33,1,3,1,28,2414,0.632,0.273,ATTRITED CUSTOMER,100.0
714972558,37,F,GRADUATE,SINGLE,2,LESS THAN 40K,BLUE,1610,0,1610,0.0,36,2,3,0,45,2729,0.889,0.406,ATTRITED CUSTOMER,100.0
714246333,58,F,HIGHSCHOOL,MARRIED,4,UNKNOWN,BLUE,5396,1803,3593,0.334,48,1,4,3,39,2107,0.493,0.393,ATTRITED CUSTOMER,100.0
711871758,30,F,GRADUATE,MARRIED,1,LESS THAN 40K,BLUE,2905,2517,388,0.866,36,2,2,3,39,2487,0.725,0.393,ATTRITED CUSTOMER,100.0
709977933,52,M,UNEDUCATED,MARRIED,5,80K - 120K,BLUE,9959,199,9760,0.02,44,2,3,4,60,8517,1.003,0.5,ATTRITED CUSTOMER,100.0
720903258,48,M,UNKNOWN,UNKNOWN,3,60K - 80K,BLUE,9405,0,9405,0.0,28,2,2,1,47,4801,1.033,0.382,ATTRITED CUSTOMER,100.0
709657533,44,M,HIGHSCHOOL,UNKNOWN,3,MORE THAN 120K,BLUE,7793,2270,5523,0.291,36,2,3,2,54,8260,0.945,0.5,ATTRITED CUSTOMER,100.0
718524783,40,M,HIGHSCHOOL,UNKNOWN,3,80K - 120K,BLUE,29715,0,29715,0.0,34,1,3,4,39,2128,0.399,0.345,ATTRITED CUSTOMER,100.0
717664008,37,M,COLLEGE,MARRIED,3,60K - 80K,BLUE,3100,2517,583,0.812,19,2,3,4,12,694,0.35,0.2,ATTRITED CUSTOMER,100.0
719547033,40,M,UNKNOWN,MARRIED,4,80K - 120K,BLUE,23502,0,23502,0.0,31,1,3,6,60,7957,0.839,0.875,ATTRITED CUSTOMER,100.0
714384783,59,F,GRADUATE,MARRIED,1,LESS THAN 40K,BLUE,2468,0,2468,0.0,36,2,3,3,37,2017,0.5,0.762,ATTRITED CUSTOMER,100.0
803028858,38,F,GRADUATE,SINGLE,2,LESS THAN 40K,BLUE,3775,0,3775,0.0,32,2,3,3,36,2031,0.581,0.385,ATTRITED CUSTOMER,100.0
713283933,42,M,UNEDUCATED,MARRIED,2,40K - 60K,BLUE,3032,0,3032,0.0,30,1,3,3,44,2273,0.429,0.517,ATTRITED CUSTOMER,100.0
711527508,46,F,HIGHSCHOOL,MARRIED,3,40K - 60K,BLUE,8583,0,8583,0.0,34,2,3,2,31,1794,0.358,0.292,ATTRITED CUSTOMER,100.0
719150658,51,F,GRADUATE,MARRIED,2,UNKNOWN,BLUE,7551,0,7551,0.0,34,2,3,2,46,2977,0.894,0.394,ATTRITED CUSTOMER,100.0
788794758,46,M,GRADUATE,SINGLE,4,40K - 60K,BLUE,2979,0,2979,0.0,28,2,2,4,38,2061,0.644,0.462,ATTRITED CUSTOMER,99.9999
712623258,42,F,GRADUATE,MARRIED,3,LESS THAN 40K,BLUE,5505,2517,2988,0.457,36,2,3,3,42,2272,0.729,0.448,ATTRITED CUSTOMER,99.9999
798972183,49,F,UNKNOWN,SINGLE,2,40K - 60K,BLUE,1643,526,1117,0.32,43,1,3,2,38,2520,0.829,0.583,ATTRITED CUSTOMER,99.9999
718863258,54,F,DOCTORATE,MARRIED,2,LESS THAN 40K,BLUE,3881,2517,1364,0.649,41,2,2,3,38,2463,0.815,0.407,ATTRITED CUSTOMER,99.9999
714374133,56,M,GRADUATE,MARRIED,2,MORE THAN 120K,BLUE,15769,0,15769,0.0,36,1,3,3,15,602,1.041,0.364,ATTRITED CUSTOMER,99.9999
713677158,31,F,GRADUATE,DIVORCED,1,UNKNOWN,BLUE,1623,0,1623,0.0,22,2,2,3,45,2126,0.501,0.364,ATTRITED CUSTOMER,99.9999
716299608,58,F,UNKNOWN,DIVORCED,3,LESS THAN 40K,BLUE,1508,0,1508,0.0,36,2,2,3,31,1990,0.458,0.192,ATTRITED CUSTOMER,99.9999
713931258,56,F,GRADUATE,MARRIED,3,LESS THAN 40K,BLUE,1438,0,1438,0.0,45,2,3,4,42,1988,0.315,0.355,ATTRITED CUSTOMER,99.9999
708373083,40,F,UNKNOWN,MARRIED,4,40K - 60K,BLUE,3356,2517,839,0.75,30,1,3,4,39,2032,0.583,0.147,ATTRITED CUSTOMER,99.9999
713312208,53,M,HIGHSCHOOL,MARRIED,1,40K - 60K,BLUE,3146,0,3146,0.0,43,1,2,3,38,1868,0.414,0.31,ATTRITED CUSTOMER,99.9999
713027058,46,F,DOCTORATE,SINGLE,4,LESS THAN 40K,BLUE,2292,0,2292,0.0,36,2,2,3,31,2595,0.568,0.409,ATTRITED CUSTOMER,99.9999
719821908,38,F,HIGHSCHOOL,SINGLE,2,LESS THAN 40K,BLUE,2703,0,2703,0.0,16,2,1,2,43,2752,0.882,0.433,ATTRITED CUSTOMER,99.9999
802460433,57,F,HIGHSCHOOL,MARRIED,3,UNKNOWN,BLUE,1438,0,1438,0.0,51,2,5,2,37,2607,0.733,0.609,ATTRITED CUSTOMER,99.9999
715409733,47,F,COLLEGE,SINGLE,4,LESS THAN 40K,BLUE,2263,0,2263,0.0,36,2,2,3,33,2385,0.752,0.375,ATTRITED CUSTOMER,99.9999
714208533,43,M,HIGHSCHOOL,MARRIED,3,60K - 80K,BLUE,8663,288,8375,0.033,36,1,3,3,33,916,0.639,0.32,ATTRITED CUSTOMER,99.9999
709100283,36,F,HIGHSCHOOL,SINGLE,2,UNKNOWN,BLUE,5956,2517,3439,0.423,26,3,2,2,46,2828,0.877,0.484,ATTRITED CUSTOMER,99.9999
713003358,40,M,GRADUATE,SINGLE,3,80K - 120K,BLUE,29338,159,29179,0.005,30,2,2,2,40,4983,1.017,0.379,ATTRITED CUSTOMER,99.9999
713980383,49,F,GRADUATE,SINGLE,3,UNKNOWN,BLUE,11025,0,11025,0.0,38,1,2,4,28,1902,0.501,0.273,ATTRITED CUSTOMER,99.9999
791856033,45,M,COLLEGE,DIVORCED,2,80K - 120K,BLUE,34516,0,34516,0.0,39,3,4,4,27,1041,1.014,0.35,ATTRITED CUSTOMER,99.9999
771411408,50,M,POSTGRADUATE,UNKNOWN,1,80K - 120K,BLUE,2673,0,2673,0.0,38,2,3,4,54,4929,1.043,0.459,ATTRITED CUSTOMER,99.9999
714503433,57,F,DOCTORATE,MARRIED,2,LESS THAN 40K,BLUE,1615,950,665,0.588,36,1,3,3,43,2212,0.507,0.387,ATTRITED CUSTOMER,99.9999
711816108,40,M,HIGHSCHOOL,SINGLE,3,80K - 120K,BLUE,18563,0,18563,0.0,29,2,2,4,45,2395,0.729,0.552,ATTRITED CUSTOMER,99.9999
708892833,37,M,GRADUATE,MARRIED,2,MORE THAN 120K,BLUE,13662,0,13662,0.0,30,2,4,4,22,725,0.153,0.0,ATTRITED CUSTOMER,99.9999
719860308,42,F,GRADUATE,MARRIED,2,LESS THAN 40K,BLUE,1438,0,1438,0.0,36,2,3,3,48,2418,0.663,0.778,ATTRITED CUSTOMER,99.9999
711626658,62,F,HIGHSCHOOL,SINGLE,1,LESS THAN 40K,BLUE,1930,0,1930,0.0,36,2,3,4,45,1971,0.331,0.25,ATTRITED CUSTOMER,99.9999
708266883,34,F,GRADUATE,SINGLE,2,LESS THAN 40K,BLUE,1666,0,1666,0.0,36,1,2,3,35,2312,0.713,0.25,ATTRITED CUSTOMER,99.9999
771809733,64,F,HIGHSCHOOL,MARRIED,0,40K - 60K,BLUE,3353,0,3353,0.0,53,1,3,3,18,960,1.021,0.385,ATTRITED CUSTOMER,99.9999
803115258,62,M,COLLEGE,UNKNOWN,0,40K - 60K,BLUE,3477,0,3477,0.0,56,2,6,2,40,2113,0.436,0.739,ATTRITED CUSTOMER,99.9999
715150983,44,F,UNKNOWN,SINGLE,3,UNKNOWN,BLUE,26021,0,26021,0.0,34,2,3,3,60,8898,1.04,0.538,ATTRITED CUSTOMER,99.9999
789122808,41,F,COLLEGE,MARRIED,4,40K - 60K,BLUE,3281,0,3281,0.0,29,5,2,3,45,2907,0.875,0.406,ATTRITED CUSTOMER,99.9999
711232608,47,F,HIGHSCHOOL,SINGLE,5,LESS THAN 40K,BLUE,1636,0,1636,0.0,36,2,3,2,35,2235,0.694,0.591,ATTRITED CUSTOMER,99.9999
714319233,44,M,GRADUATE,DIVORCED,5,60K - 80K,BLUE,6538,0,6538,0.0,36,3,3,6,33,2132,0.556,0.571,ATTRITED CUSTOMER,99.9999
768490458,49,M,UNEDUCATED,MARRIED,2,80K - 120K,BLUE,5701,2517,3184,0.442,43,1,3,3,32,961,0.716,0.524,ATTRITED CUSTOMER,99.9999
709560258,49,F,GRADUATE,SINGLE,3,UNKNOWN,BLUE,4946,0,4946,0.0,31,2,3,4,38,2239,0.54,0.407,ATTRITED CUSTOMER,99.9999
713736333,41,F,UNEDUCATED,MARRIED,3,40K - 60K,BLUE,3606,0,3606,0.0,36,1,3,4,41,1829,0.37,0.519,ATTRITED CUSTOMER,99.9999
796903083,47,F,DOCTORATE,MARRIED,1,40K - 60K,BLUE,1438,0,1438,0.0,36,2,3,2,42,2584,0.838,0.448,ATTRITED CUSTOMER,99.9999
708804633,44,F,DOCTORATE,DIVORCED,2,LESS THAN 40K,BLUE,1916,0,1916,0.0,36,1,2,2,39,2888,1.041,0.444,ATTRITED CUSTOMER,99.9999
718577958,39,M,UNEDUCATED,MARRIED,2,MORE THAN 120K,BLUE,8906,0,8906,0.0,26,2,3,4,15,809,0.315,0.25,ATTRITED CUSTOMER,99.9998
710064033,45,M,UNEDUCATED,MARRIED,3,40K - 60K,BLUE,4572,0,4572,0.0,28,2,2,5,42,3555,0.48,0.4,ATTRITED CUSTOMER,99.9998
710552733,42,M,UNKNOWN,MARRIED,5,60K - 80K,BLUE,4963,0,4963,0.0,36,2,3,2,40,2335,0.637,0.429,ATTRITED CUSTOMER,99.9998
768624258,55,F,GRADUATE,SINGLE,2,LESS THAN 40K,BLUE,1583,234,1349,0.148,49,2,1,2,36,2541,0.639,0.385,ATTRITED CUSTOMER,99.9998
711646908,39,M,UNKNOWN,SINGLE,3,60K - 80K,BLUE,7821,2517,5304,0.322,23,1,2,3,43,2010,0.408,0.344,ATTRITED CUSTOMER,99.9998
709745508,58,F,UNKNOWN,DIVORCED,2,40K - 60K,BLUE,2295,0,2295,0.0,47,1,4,3,40,2140,0.376,0.429,ATTRITED CUSTOMER,99.9998
709709283,38,M,COLLEGE,SINGLE,3,40K - 60K,BLUE,3458,321,3137,0.093,19,1,2,4,40,2256,0.586,0.29,ATTRITED CUSTOMER,99.9998
720766908,40,F,UNEDUCATED,SINGLE,2,LESS THAN 40K,BLUE,3021,0,3021,0.0,28,2,2,2,37,2814,0.694,0.321,ATTRITED CUSTOMER,99.9998
718653333,45,F,COLLEGE,SINGLE,2,LESS THAN 40K,BLUE,1833,0,1833,0.0,33,1,3,3,31,2037,0.549,0.292,ATTRITED CUSTOMER,99.9998
712509108,46,F,DOCTORATE,SINGLE,3,LESS THAN 40K,GOLD,15164,532,14632,0.035,36,1,3,5,68,8356,0.858,0.478,ATTRITED CUSTOMER,99.9998
720761208,59,M,COLLEGE,SINGLE,1,MORE THAN 120K,BLUE,4789,357,4432,0.075,47,2,4,2,41,2496,0.798,0.64,ATTRITED CUSTOMER,99.9998
815085708,60,F,HIGHSCHOOL,SINGLE,0,40K - 60K,BLUE,10882,2517,8365,0.231,55,1,5,5,46,1861,0.266,0.278,ATTRITED CUSTOMER,99.9998
711012783,43,M,GRADUATE,SINGLE,4,MORE THAN 120K,BLUE,33384,0,33384,0.0,36,1,3,4,46,2066,0.631,0.769,ATTRITED CUSTOMER,99.9998
709566408,40,F,GRADUATE,SINGLE,2,LESS THAN 40K,BLUE,4458,0,4458,0.0,30,5,3,6,70,9640,0.935,0.707,ATTRITED CUSTOMER,99.9998
715773783,44,F,GRADUATE,SINGLE,2,40K - 60K,BLUE,4196,561,3635,0.134,35,2,3,4,38,2558,0.741,0.652,ATTRITED CUSTOMER,99.9998
709199358,60,M,UNEDUCATED,MARRIED,1,LESS THAN 40K,BLUE,3316,0,3316,0.0,36,1,3,4,19,1684,0.372,0.188,ATTRITED CUSTOMER,99.9998
708834483,46,M,DOCTORATE,MARRIED,2,80K - 120K,BLUE,17667,0,17667,0.0,29,1,2,5,42,1775,0.569,0.556,ATTRITED CUSTOMER,99.9998
720427683,58,M,UNEDUCATED,SINGLE,2,MORE THAN 120K,BLUE,16163,0,16163,0.0,46,2,3,4,48,2171,0.542,0.778,ATTRITED CUSTOMER,99.9998
712159083,58,F,UNKNOWN,MARRIED,4,LESS THAN 40K,BLUE,2536,0,2536,0.0,46,2,3,3,35,901,0.917,0.522,ATTRITED CUSTOMER,99.9998
708798483,37,F,UNKNOWN,SINGLE,3,UNKNOWN,BLUE,2054,0,2054,0.0,24,2,3,2,43,2567,0.87,0.593,ATTRITED CUSTOMER,99.9998
719874633,44,M,HIGHSCHOOL,UNKNOWN,1,80K - 120K,GOLD,34516,0,34516,0.0,36,2,2,3,34,1891,0.596,0.214,ATTRITED CUSTOMER,99.9998
771594783,56,F,COLLEGE,MARRIED,1,UNKNOWN,BLUE,1438,0,1438,0.0,44,2,4,4,37,2264,0.859,0.423,ATTRITED CUSTOMER,99.9998
715493733,53,M,GRADUATE,MARRIED,2,40K - 60K,BLUE,5735,0,5735,0.0,36,2,3,4,64,9088,1.009,0.684,ATTRITED CUSTOMER,99.9998
717448383,41,M,UNKNOWN,SINGLE,4,80K - 120K,BLUE,4428,0,4428,0.0,28,1,2,4,36,2331,0.865,0.286,ATTRITED CUSTOMER,99.9998
708121908,48,M,UNKNOWN,MARRIED,4,80K - 120K,BLUE,22917,0,22917,0.0,36,2,3,2,45,2045,0.574,0.5,ATTRITED CUSTOMER,99.9998
716855058,49,F,GRADUATE,MARRIED,4,LESS THAN 40K,BLUE,1757,0,1757,0.0,38,5,2,4,45,2557,0.89,0.406,ATTRITED CUSTOMER,99.9998
807584958,50,M,UNEDUCATED,MARRIED,3,60K - 80K,BLUE,21096,0,21096,0.0,45,2,2,5,39,1882,0.637,0.345,ATTRITED CUSTOMER,99.9998
793608258,54,F,GRADUATE,SINGLE,3,LESS THAN 40K,SILVER,13432,0,13432,0.0,48,1,5,2,50,4909,0.918,0.316,ATTRITED CUSTOMER,99.9997
710721858,46,F,UNKNOWN,MARRIED,3,40K - 60K,BLUE,5542,0,5542,0.0,37,2,3,4,59,8246,0.808,0.639,ATTRITED CUSTOMER,99.9997
711637458,44,F,HIGHSCHOOL,SINGLE,3,LESS THAN 40K,BLUE,2228,0,2228,0.0,36,2,3,3,45,2523,0.686,0.607,ATTRITED CUSTOMER,99.9997
715051608,34,M,HIGHSCHOOL,SINGLE,2,60K - 80K,BLUE,9719,2517,7202,0.259,36,2,3,2,51,9183,0.906,0.7,ATTRITED CUSTOMER,99.9997
708976908,40,M,POSTGRADUATE,SINGLE,3,80K - 120K,BLUE,8958,0,8958,0.0,36,4,4,3,43,2131,0.483,0.387,ATTRITED CUSTOMER,99.9997
768243858,54,M,HIGHSCHOOL,MARRIED,3,80K - 120K,BLUE,3288,2517,771,0.766,48,3,4,3,46,2717,0.84,0.438,ATTRITED CUSTOMER,99.9997
708885558,56,F,HIGHSCHOOL,SINGLE,1,LESS THAN 40K,BLUE,3556,0,3556,0.0,48,1,5,2,45,2220,0.596,0.731,ATTRITED CUSTOMER,99.9997
709017258,51,F,UNKNOWN,MARRIED,2,LESS THAN 40K,BLUE,2114,0,2114,0.0,36,1,2,2,45,2872,0.875,0.5,ATTRITED CUSTOMER,99.9997
811035483,47,M,UNEDUCATED,DIVORCED,3,MORE THAN 120K,SILVER,34516,0,34516,0.0,42,2,4,5,35,1641,0.521,0.591,ATTRITED CUSTOMER,99.9997
714630858,36,F,UNEDUCATED,UNKNOWN,1,LESS THAN 40K,BLUE,1470,458,1012,0.312,36,2,3,2,39,2383,0.543,0.444,ATTRITED CUSTOMER,99.9997
712157958,44,M,HIGHSCHOOL,MARRIED,3,80K - 120K,BLUE,10908,0,10908,0.0,36,1,3,2,42,4883,0.983,0.5,ATTRITED CUSTOMER,99.9997
719168883,45,F,UNKNOWN,SINGLE,5,LESS THAN 40K,BLUE,5155,0,5155,0.0,34,1,4,1,45,2753,1.014,0.607,ATTRITED CUSTOMER,99.9997
715904433,42,F,COLLEGE,MARRIED,4,40K - 60K,BLUE,1695,0,1695,0.0,34,1,3,2,46,2055,0.453,0.314,ATTRITED CUSTOMER,99.9997
708736608,40,M,GRADUATE,MARRIED,3,MORE THAN 120K,BLUE,2269,0,2269,0.0,27,5,3,2,39,2108,0.572,0.56,ATTRITED CUSTOMER,99.9997
716987358,29,M,POSTGRADUATE,DIVORCED,0,60K - 80K,BLUE,8022,0,8022,0.0,15,2,1,3,59,5660,0.381,0.735,ATTRITED CUSTOMER,99.9997
717371583,56,F,UNEDUCATED,SINGLE,2,LESS THAN 40K,BLUE,1883,400,1483,0.212,36,1,3,5,45,1954,0.528,0.5,ATTRITED CUSTOMER,99.9997
772273983,48,M,UNEDUCATED,SINGLE,4,40K - 60K,BLUE,5268,2191,3077,0.416,37,1,3,4,40,2138,0.622,0.429,ATTRITED CUSTOMER,99.9997
822132858,41,M,UNEDUCATED,MARRIED,4,80K - 120K,BLUE,23250,0,23250,0.0,37,1,2,2,43,2205,0.564,0.654,ATTRITED CUSTOMER,99.9997
715609533,47,F,UNKNOWN,SINGLE,3,LESS THAN 40K,BLUE,5398,0,5398,0.0,35,1,3,3,36,1887,0.621,0.333,ATTRITED CUSTOMER,99.9997
714520233,59,F,GRADUATE,MARRIED,0,LESS THAN 40K,BLUE,1708,0,1708,0.0,36,2,3,2,38,1992,0.443,0.357,ATTRITED CUSTOMER,99.9997
711382458,43,M,GRADUATE,MARRIED,5,60K - 80K,BLUE,1438,0,1438,0.0,38,2,3,5,49,2389,0.713,0.361,ATTRITED CUSTOMER,99.9997
718404783,59,F,UNKNOWN,MARRIED,0,UNKNOWN,BLUE,6996,0,6996,0.0,49,5,2,4,33,2384,0.871,0.375,ATTRITED CUSTOMER,99.9997
714930333,39,M,COLLEGE,MARRIED,3,80K - 120K,BLUE,4618,0,4618,0.0,30,2,3,3,49,2476,0.717,0.75,ATTRITED CUSTOMER,99.9996
714629358,54,F,GRADUATE,DIVORCED,3,40K - 60K,BLUE,4948,0,4948,0.0,34,2,3,4,41,1796,0.392,0.519,ATTRITED CUSTOMER,99.9996
779905008,54,F,GRADUATE,UNKNOWN,4,40K - 60K,BLUE,1779,0,1779,0.0,38,2,2,1,41,2660,0.856,0.323,ATTRITED CUSTOMER,99.9996
718806783,46,F,UNEDUCATED,MARRIED,3,UNKNOWN,BLUE,2872,357,2515,0.124,36,2,3,1,41,2629,0.869,0.64,ATTRITED CUSTOMER,99.9996
798041508,50,F,GRADUATE,SINGLE,4,LESS THAN 40K,BLUE,3201,2517,684,0.786,44,2,3,2,42,1880,0.445,0.355,ATTRITED CUSTOMER,99.9996
720565458,43,M,POSTGRADUATE,SINGLE,2,60K - 80K,BLUE,17306,0,17306,0.0,36,2,3,3,65,6205,0.4,0.806,ATTRITED CUSTOMER,99.9996
718913358,36,M,GRADUATE,SINGLE,2,LESS THAN 40K,BLUE,4225,2517,1708,0.596,36,3,3,3,43,2659,0.662,0.387,ATTRITED CUSTOMER,99.9996
713253858,50,F,COLLEGE,MARRIED,1,UNKNOWN,BLUE,1461,0,1461,0.0,37,2,2,3,40,2176,0.563,0.379,ATTRITED CUSTOMER,99.9996
803796708,52,M,UNEDUCATED,UNKNOWN,3,MORE THAN 120K,BLUE,13354,0,13354,0.0,46,2,4,4,28,1097,0.018,0.077,ATTRITED CUSTOMER,99.9996
715306983,42,M,HIGHSCHOOL,MARRIED,5,60K - 80K,BLUE,1866,0,1866,0.0,36,1,2,3,42,2833,0.798,0.355,ATTRITED CUSTOMER,99.9996
738899658,45,F,GRADUATE,SINGLE,2,UNKNOWN,BLUE,3120,2517,603,0.807,38,6,2,3,43,2468,0.736,0.536,ATTRITED CUSTOMER,99.9996
720872433,39,F,UNEDUCATED,SINGLE,1,40K - 60K,BLUE,3911,0,3911,0.0,28,5,3,6,42,2867,0.897,0.556,ATTRITED CUSTOMER,99.9996
771422883,57,F,GRADUATE,MARRIED,3,LESS THAN 40K,BLUE,1759,186,1573,0.106,45,1,4,2,35,2705,0.756,0.522,ATTRITED CUSTOMER,99.9996
717949008,40,F,HIGHSCHOOL,SINGLE,4,40K - 60K,BLUE,1554,412,1142,0.265,29,5,2,3,43,2341,0.568,0.483,ATTRITED CUSTOMER,99.9996
712163433,47,M,UNEDUCATED,MARRIED,3,40K - 60K,BLUE,1684,644,1040,0.382,29,1,2,4,36,2164,0.723,0.714,ATTRITED CUSTOMER,99.9996
713929533,36,F,COLLEGE,MARRIED,3,LESS THAN 40K,BLUE,1707,0,1707,0.0,36,2,2,2,52,2060,0.319,0.529,ATTRITED CUSTOMER,99.9996
711588708,50,F,UNEDUCATED,MARRIED,2,40K - 60K,BLUE,1438,458,980,0.318,36,1,3,1,42,1863,0.613,0.312,ATTRITED CUSTOMER,99.9996
713512308,50,F,GRADUATE,SINGLE,0,LESS THAN 40K,BLUE,3423,0,3423,0.0,41,2,3,1,45,2229,0.505,0.406,ATTRITED CUSTOMER,99.9996
718711158,52,M,GRADUATE,MARRIED,3,MORE THAN 120K,BLUE,3841,2517,1324,0.655,36,1,2,3,51,2680,0.841,0.545,ATTRITED CUSTOMER,99.9996
712853358,39,F,HIGHSCHOOL,UNKNOWN,3,LESS THAN 40K,BLUE,1817,0,1817,0.0,36,2,3,2,44,2216,0.583,0.833,ATTRITED CUSTOMER,99.9995
794719983,44,F,HIGHSCHOOL,UNKNOWN,4,LESS THAN 40K,BLUE,2616,2505,111,0.958,38,2,2,3,42,2576,0.828,0.5,ATTRITED CUSTOMER,99.9995
750995508,41,M,UNKNOWN,SINGLE,3,60K - 80K,BLUE,4697,1046,3651,0.223,32,1,3,3,29,1679,0.313,0.318,ATTRITED CUSTOMER,99.9995
721137558,40,M,GRADUATE,DIVORCED,4,40K - 60K,BLUE,5821,894,4927,0.154,28,1,2,3,42,2011,0.461,0.273,ATTRITED CUSTOMER,99.9995
772271508,46,F,UNEDUCATED,SINGLE,3,UNKNOWN,BLUE,1706,0,1706,0.0,35,2,3,3,42,2320,0.726,0.448,ATTRITED CUSTOMER,99.9995
710527533,45,M,COLLEGE,SINGLE,5,40K - 60K,BLUE,4982,0,4982,0.0,36,4,3,3,58,8586,0.886,1.0,ATTRITED CUSTOMER,99.9995
720190083,56,F,UNKNOWN,SINGLE,3,LESS THAN 40K,BLUE,1632,0,1632,0.0,39,1,3,4,47,2509,0.621,0.424,ATTRITED CUSTOMER,99.9995
718113633,41,M,UNEDUCATED,MARRIED,3,MORE THAN 120K,BLUE,34516,0,34516,0.0,36,1,2,3,56,5603,0.377,0.244,ATTRITED CUSTOMER,99.9995
779859558,54,F,HIGHSCHOOL,MARRIED,3,LESS THAN 40K,BLUE,2452,1012,1440,0.413,38,2,2,4,29,2398,0.46,0.318,ATTRITED CUSTOMER,99.9995
711691608,46,F,GRADUATE,SINGLE,4,LESS THAN 40K,BLUE,2881,2450,431,0.85,36,2,3,3,49,2450,0.629,0.531,ATTRITED CUSTOMER,99.9995
805313808,52,F,HIGHSCHOOL,MARRIED,3,40K - 60K,BLUE,8018,134,7884,0.017,47,2,2,3,38,2409,0.717,0.31,ATTRITED CUSTOMER,99.9995
711334983,41,F,HIGHSCHOOL,MARRIED,3,UNKNOWN,BLUE,26229,0,26229,0.0,32,1,2,4,46,2077,0.504,0.643,ATTRITED CUSTOMER,99.9995
769883733,46,M,POSTGRADUATE,SINGLE,3,40K - 60K,BLUE,2344,0,2344,0.0,40,3,4,2,31,2098,0.412,0.409,ATTRITED CUSTOMER,99.9995
715016508,42,F,HIGHSCHOOL,MARRIED,3,40K - 60K,BLUE,4527,0,4527,0.0,36,1,3,4,37,2441,0.801,0.37,ATTRITED CUSTOMER,99.9995
